controller_mode,method_label,episodes,mean_rms_altitude_error_m,std_rms_altitude_error_m,ci95_rms_altitude_error_m,mean_rms_airspeed_error_mps,std_rms_airspeed_error_mps,ci95_rms_airspeed_error_mps,mean_rms_reference_error_m,std_rms_reference_error_m,ci95_rms_reference_error_m,mean_mean_reference_error_m,std_mean_reference_error_m,ci95_mean_reference_error_m,mean_max_reference_error_m,std_max_reference_error_m,ci95_max_reference_error_m,mean_control_energy_integral,std_control_energy_integral,ci95_control_energy_integral,mean_saturation_time_fraction,std_saturation_time_fraction,ci95_saturation_time_fraction,mean_min_airspeed_after_10s_mps,std_min_airspeed_after_10s_mps,ci95_min_airspeed_after_10s_mps,mean_max_abs_roll_rad,std_max_abs_roll_rad,ci95_max_abs_roll_rad,mean_max_abs_pitch_rad,std_max_abs_pitch_rad,ci95_max_abs_pitch_rad,mean_max_abs_load_factor_nz,std_max_abs_load_factor_nz,ci95_max_abs_load_factor_nz,mean_mean_abs_load_factor_nz,std_mean_abs_load_factor_nz,ci95_mean_abs_load_factor_nz,mean_safety_time_fraction,std_safety_time_fraction,ci95_safety_time_fraction,mean_safety_violations,std_safety_violations,ci95_safety_violations,mean_q_episode_return,std_q_episode_return,ci95_q_episode_return,mean_q_table_size,std_q_table_size,ci95_q_table_size,mean_q_updates,std_q_updates,ci95_q_updates,mean_residual_active_fraction,std_residual_active_fraction,ci95_residual_active_fraction,mean_mean_hard_condition_score,std_mean_hard_condition_score,ci95_mean_hard_condition_score,mean_mean_hjb_value,std_mean_hjb_value,ci95_mean_hjb_value,mean_mean_hjb_advantage,std_mean_hjb_advantage,ci95_mean_hjb_advantage,mean_mean_hjb_stage_cost,std_mean_hjb_stage_cost,ci95_mean_hjb_stage_cost,mean_shield_active_fraction,std_shield_active_fraction,ci95_shield_active_fraction,mean_mean_candidate_count,std_mean_candidate_count,ci95_mean_candidate_count
fixed_matlab_autopilot,Baseline autopilot,20,114.13707857987099,25.157105451905533,11.312014186243713,10.545557371398917,1.3928081084006025,0.6262829048860026,338.617254742204,287.4391798149221,129.24841794556974,210.87830818943854,186.6300726013462,83.91911513358195,898.9560227852417,649.7999195586436,292.18567781257326,5.6645337016085255,3.310904185696705,1.4887640865319793,0.001719090909090909,0.005047881398326455,0.002269804294357697,40.67607870073845,9.755019794823976,4.386391849296743,1.1355136973211293,0.2636092633114341,0.11853318069143476,0.37332662142978823,0.03819167223220941,0.0171730702052767,7.413651042676243,0.7897476685100515,0.35511386024984526,1.0677433519580863,0.11160559293040896,0.05018399485213034,0.004801767676767677,0.00989692556229734,0.004450200464236062,25.8,54.59358936725079,24.54827160385924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
online_q_learning,Baseline + tabular Q residual,20,65.81936258515708,13.474714986812169,6.0589707896964935,15.085585555597552,1.581681679600856,0.7112108200194961,88.80906198339854,170.2427820858903,76.55049066526527,61.87453576239244,117.98069803402433,53.0505917071922,204.49164586144406,374.8089313400176,168.5346494474378,6.524208764008111,2.5077852601340553,1.1276377758531266,0.0,0.0,0.0,46.791627599365924,7.262087816788749,3.2654329236052706,0.9418852719932846,0.2595934520914362,0.11672745174631673,0.3031319922546839,0.011554710782445302,0.005195631609480892,6.843593096405715,0.8395890825549608,0.37752529322715367,1.113636553950746,0.18575108490128642,0.083523874061368,0.00308989898989899,0.009406949771833319,0.004229880479361761,16.85,51.76994784621673,23.27860753205782,-5830.811583403804,4611.1173023902975,2073.4112053865856,17.25,10.148275715608046,4.563221276801359,5025.0,486.69805834829464,218.84613676952893,0.9128832323232322,0.10025469769745007,0.04508000989061438,2.9587447561251716,1.3543186269450487,0.608975923322533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0298826262626264,0.1388527536991461,0.0624358125240824
sharq_hjb,Baseline + SHARQ-HJB residual,20,64.70987873740567,12.916615132211284,5.808018489772516,15.19056537164197,1.542977375409395,0.6938072423734305,44.8089148652885,72.90178018127312,32.78063818548401,29.226847770380328,48.417691641377075,21.771249310041167,123.92749676096078,209.72364258509683,94.30325061238806,6.3455130725068205,2.2870043277369123,1.0283625613773124,0.0,0.0,0.0,46.3666770291566,6.947417678557637,3.1239399734539646,0.9957912226637887,0.34550726884829747,0.15535901513527345,0.31999797655787354,0.07289163277624831,0.03277607535571754,6.800025640002549,0.8234002372387662,0.37024590060283935,1.0988497740617102,0.16918304277537402,0.07607397375686346,0.0033323232323232326,0.011168811566180022,0.005022110159757728,18.25,61.444181986580304,27.628673720954236,-4584.627596075486,1841.7433310267977,828.1487998619024,17.4,10.394229168149026,4.673815436754227,5025.0,486.69805834829464,218.84613676952893,0.888211414141414,0.15994712552556686,0.07192099887855216,2.5341462572453564,0.6788692468704697,0.30525684148697096,2.641812337569189,0.5370348030419355,0.24148029756964048,-0.3263293512167948,0.8240726541133886,0.3705482561039259,2.6748521648419166,0.5476401138504767,0.24624902688729156,0.11959323232323231,0.028887918746689865,0.012989592435359427,2.908828080808081,0.14083157432792143,0.06332559879410986
