controller_mode,method_label,episodes,mean_rms_altitude_error_m,std_rms_altitude_error_m,ci95_rms_altitude_error_m,mean_rms_airspeed_error_mps,std_rms_airspeed_error_mps,ci95_rms_airspeed_error_mps,mean_rms_reference_error_m,std_rms_reference_error_m,ci95_rms_reference_error_m,mean_mean_reference_error_m,std_mean_reference_error_m,ci95_mean_reference_error_m,mean_max_reference_error_m,std_max_reference_error_m,ci95_max_reference_error_m,mean_control_energy_integral,std_control_energy_integral,ci95_control_energy_integral,mean_saturation_time_fraction,std_saturation_time_fraction,ci95_saturation_time_fraction,mean_min_airspeed_after_10s_mps,std_min_airspeed_after_10s_mps,ci95_min_airspeed_after_10s_mps,mean_max_abs_roll_rad,std_max_abs_roll_rad,ci95_max_abs_roll_rad,mean_max_abs_pitch_rad,std_max_abs_pitch_rad,ci95_max_abs_pitch_rad,mean_max_abs_load_factor_nz,std_max_abs_load_factor_nz,ci95_max_abs_load_factor_nz,mean_mean_abs_load_factor_nz,std_mean_abs_load_factor_nz,ci95_mean_abs_load_factor_nz,mean_safety_time_fraction,std_safety_time_fraction,ci95_safety_time_fraction,mean_safety_violations,std_safety_violations,ci95_safety_violations,mean_q_episode_return,std_q_episode_return,ci95_q_episode_return,mean_q_table_size,std_q_table_size,ci95_q_table_size,mean_q_updates,std_q_updates,ci95_q_updates,mean_residual_active_fraction,std_residual_active_fraction,ci95_residual_active_fraction,mean_mean_hard_condition_score,std_mean_hard_condition_score,ci95_mean_hard_condition_score,mean_mean_hjb_value,std_mean_hjb_value,ci95_mean_hjb_value,mean_mean_hjb_advantage,std_mean_hjb_advantage,ci95_mean_hjb_advantage,mean_mean_hjb_stage_cost,std_mean_hjb_stage_cost,ci95_mean_hjb_stage_cost,mean_shield_active_fraction,std_shield_active_fraction,ci95_shield_active_fraction,mean_mean_candidate_count,std_mean_candidate_count,ci95_mean_candidate_count
fixed_matlab_autopilot,Baseline,1000,221.41732851715216,44.36477327645624,2.751133046626222,18.943554577675958,1.2239809731184494,0.0759010867159076,0.8664482241274049,0.1073976996234951,0.0066599091744402,0.795173313480924,0.0959646711579695,0.0059509281493706,1.1678916779476205,0.1593656522557425,0.0098825279616742,0.7315360808506144,0.3365912073764553,0.0208725780710482,0.0186475,0.0416761561777234,0.0025844074487299,,,,0.6358159173613885,0.4103221727179332,0.0254447573098912,0.1515868652455654,0.1029606038441289,0.0063847575185624,4.258758209582496,3.0458302155768617,0.1888769747175299,1.002041169876491,0.1172565166803347,0.0072712707436,0.0022225,0.0028003113666162,0.0001736519443823,0.889,1.120124546646488,0.0694607777529596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
online_q_learning,Q residual,1000,156.78149263697296,35.28165289392904,2.1878737125789534,35.16903147764193,4.769287038745474,0.2957513858884497,1.183479215971367,0.1168570725451647,0.0072465005514095,1.150953655327975,0.1148642947059922,0.0071229250981153,1.8193118028557655,0.2069324995361249,0.0128322269190298,0.8328172309030577,0.1066783628873644,0.0066153019124108,0.0,0.0,0.0,,,,0.7207460667222433,0.3687467937380175,0.0228665992220564,0.31249372624657,0.0572359677892197,0.003549297129489,7.144568928328292,0.8017336631185671,0.0497168318984446,1.113675402469464,0.0878193423889739,0.0054458228260011,0.0004475,0.0019700237942725,0.0001221644372955,0.179,0.7880095177090187,0.0488657749182222,-1155.2433501743933,218.82813135608063,13.569894744050536,5.052,0.38638840562315,0.0239605847846671,400.0,0.0,0.0,0.9239275,0.0974055619241016,0.0060402801714937,4.344191152831659,0.9704928886504106,0.0601818708921204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0946800000000003,0.2840422681573994,0.0176139313436137
sharq_hjb,SHARQ-HJB,1000,155.14931478376437,35.68804879335848,2.213074995181407,35.302654061726074,4.5977501861766745,0.2851141016432326,1.1735663281646898,0.1149568468829632,0.00712866441185,1.1408207781912283,0.1130936553505685,0.0070131248199981,1.814929891869882,0.2020652340548984,0.012530399727698,0.8219882690684004,0.1096848174021164,0.0068017371347249,0.0,0.0,0.0,,,,0.720106793494415,0.3693742162857567,0.0229055067330793,0.3125051671327152,0.05723451560123,0.0035492070769073,7.146792637983857,0.7786522656549129,0.0482855162253344,1.113970574016958,0.0872488873049545,0.0054104479617257,0.0003775,0.0016473444539621,0.0001021545571354,0.151,0.6589377815848778,0.0408618228541871,-1147.9096693035967,218.32783377184592,13.538870462498176,5.051,0.3852259077476488,0.0238884963666334,400.0,0.0,0.0,0.95148,0.0045452832695003,0.0002818605412694,4.305559076411678,0.9753349712923876,0.0604821364538946,11.89655203017692,1.8471758884793437,0.1145464352552778,-0.3008125879354537,0.1645059323431169,0.0102012852407696,11.938542430176922,1.8472356440013176,0.114550140794134,0.0142325,0.0212056524009519,0.0013149976160587,3.0781725000000004,0.2731817005103928,0.0169404495617366
