controller_mode,method_label,episodes,mean_rms_altitude_error_m,std_rms_altitude_error_m,ci95_rms_altitude_error_m,mean_rms_airspeed_error_mps,std_rms_airspeed_error_mps,ci95_rms_airspeed_error_mps,mean_rms_reference_error_m,std_rms_reference_error_m,ci95_rms_reference_error_m,mean_mean_reference_error_m,std_mean_reference_error_m,ci95_mean_reference_error_m,mean_max_reference_error_m,std_max_reference_error_m,ci95_max_reference_error_m,mean_control_energy_integral,std_control_energy_integral,ci95_control_energy_integral,mean_saturation_time_fraction,std_saturation_time_fraction,ci95_saturation_time_fraction,mean_min_airspeed_after_10s_mps,std_min_airspeed_after_10s_mps,ci95_min_airspeed_after_10s_mps,mean_max_abs_roll_rad,std_max_abs_roll_rad,ci95_max_abs_roll_rad,mean_max_abs_pitch_rad,std_max_abs_pitch_rad,ci95_max_abs_pitch_rad,mean_max_abs_load_factor_nz,std_max_abs_load_factor_nz,ci95_max_abs_load_factor_nz,mean_mean_abs_load_factor_nz,std_mean_abs_load_factor_nz,ci95_mean_abs_load_factor_nz,mean_safety_time_fraction,std_safety_time_fraction,ci95_safety_time_fraction,mean_safety_violations,std_safety_violations,ci95_safety_violations,mean_q_episode_return,std_q_episode_return,ci95_q_episode_return,mean_q_table_size,std_q_table_size,ci95_q_table_size,mean_q_updates,std_q_updates,ci95_q_updates,mean_residual_active_fraction,std_residual_active_fraction,ci95_residual_active_fraction,mean_mean_hard_condition_score,std_mean_hard_condition_score,ci95_mean_hard_condition_score,mean_mean_hjb_value,std_mean_hjb_value,ci95_mean_hjb_value,mean_mean_hjb_advantage,std_mean_hjb_advantage,ci95_mean_hjb_advantage,mean_mean_hjb_stage_cost,std_mean_hjb_stage_cost,ci95_mean_hjb_stage_cost,mean_shield_active_fraction,std_shield_active_fraction,ci95_shield_active_fraction,mean_mean_candidate_count,std_mean_candidate_count,ci95_mean_candidate_count
fixed_matlab_autopilot,Baseline,20,114.137078579871,25.157105451905533,11.312014186243712,10.545557371398916,1.3928081084006023,0.6262829048860026,338.617254742204,287.4391798149221,129.24841794556974,210.8783081894385,186.6300726013462,83.91911513358195,898.9560227852417,649.7999195586436,292.18567781257326,5.6645337016085255,3.310904185696705,1.4887640865319791,0.0017190909090909,0.0050478813983264,0.0022698042943576,40.67607870073845,9.755019794823976,4.386391849296743,1.1355136973211293,0.2636092633114341,0.1185331806914347,0.3733266214297882,0.0381916722322094,0.0171730702052767,7.413651042676243,0.7897476685100515,0.3551138602498452,1.0677433519580863,0.1116055929304089,0.0501839948521303,0.0048017676767676,0.0098969255622973,0.004450200464236,25.8,54.59358936725079,24.54827160385924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
online_q_learning,Q residual,20,65.81936258515708,13.474714986812169,6.0589707896964935,15.085585555597552,1.581681679600856,0.7112108200194961,88.80906198339854,170.2427820858903,76.55049066526527,61.87453576239244,117.98069803402431,53.0505917071922,204.49164586144408,374.8089313400176,168.5346494474378,6.524208764008111,2.507785260134056,1.1276377758531266,0.0,0.0,0.0,46.79162759936592,7.262087816788749,3.2654329236052706,0.9418852719932846,0.2595934520914362,0.1167274517463167,0.3031319922546839,0.0115547107824453,0.0051956316094808,6.843593096405715,0.8395890825549608,0.3775252932271536,1.113636553950746,0.1857510849012864,0.083523874061368,0.0030898989898989,0.0094069497718333,0.0042298804793617,16.85,51.76994784621673,23.27860753205782,-5830.811583403804,4611.1173023902975,2073.4112053865856,17.25,10.148275715608046,4.563221276801359,5025.0,486.6980583482946,218.84613676952893,0.9128832323232322,0.10025469769745,0.0450800098906143,2.958744756125172,1.354318626945049,0.608975923322533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0298826262626264,0.1388527536991461,0.0624358125240824
sharq_hjb,SHARQ-HJB,20,64.70987873740567,12.916615132211284,5.808018489772516,15.19056537164197,1.542977375409395,0.6938072423734305,44.8089148652885,72.90178018127312,32.78063818548401,29.226847770380328,48.41769164137708,21.771249310041167,123.92749676096078,209.72364258509683,94.30325061238806,6.3455130725068205,2.2870043277369123,1.0283625613773124,0.0,0.0,0.0,46.3666770291566,6.947417678557637,3.123939973453965,0.9957912226637888,0.3455072688482974,0.1553590151352734,0.3199979765578735,0.0728916327762483,0.0327760753557175,6.800025640002549,0.8234002372387662,0.3702459006028393,1.0988497740617102,0.169183042775374,0.0760739737568634,0.0033323232323232,0.01116881156618,0.0050221101597577,18.25,61.444181986580304,27.62867372095424,-4584.627596075486,1841.7433310267977,828.1487998619024,17.4,10.394229168149026,4.673815436754227,5025.0,486.6980583482946,218.84613676952893,0.888211414141414,0.1599471255255668,0.0719209988785521,2.5341462572453564,0.6788692468704697,0.3052568414869709,2.641812337569189,0.5370348030419355,0.2414802975696404,-0.3263293512167948,0.8240726541133886,0.3705482561039259,2.674852164841917,0.5476401138504767,0.2462490268872915,0.1195932323232323,0.0288879187466898,0.0129895924353594,2.908828080808081,0.1408315743279214,0.0633255987941098
