profile,controller_mode,seed,duration_s,steps,rms_altitude_error_m,rms_airspeed_error_mps,rms_reference_error_m,mean_reference_error_m,max_reference_error_m,control_energy_integral,saturation_time_fraction,min_airspeed_after_10s_mps,max_abs_roll_rad,max_abs_pitch_rad,max_abs_load_factor_nz,mean_abs_load_factor_nz,safety_time_fraction,safety_violations,q_episode_return,q_table_size,q_updates,finite,scenario_name,scenario_description,target_altitude_m,circle_diameter_m,circle_airspeed_mps,circle_direction,steady_wind_n,steady_wind_e,steady_wind_d,gust_body_u,gust_body_v,gust_body_w,turbulence_std,residual_active_fraction,mean_hard_condition_score,mean_hjb_value,mean_hjb_advantage,mean_hjb_stage_cost,shield_active_fraction,mean_candidate_count,method_label
fight_mode,fixed_matlab_autopilot,777,60.0,6000,100.88000359294676,8.702688537287544,177.13987978735403,136.16340673675822,401.4283051853609,13.532308318465866,0.0,46.82259647144308,0.9314715675397052,0.3586787967754032,8.0,1.0744274456965377,0.0035,21,0.0,0,0,True,default,,240.0,480.0,112.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline
fight_mode,online_q_learning,777,60.0,6000,77.77975478939268,11.156089455654598,185.85396655272635,146.9382694462307,415.5105192839168,14.243951354737044,0.0,47.31145704882526,0.953304209866956,0.3599476907032116,8.0,1.119534153494767,0.005,30,-9496.189546195796,16,6000,True,default,,240.0,480.0,112.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0781666666666666,3.0126520069516864,0.0,0.0,0.0,0.0,1.831,Q residual
fight_mode,sharq_hjb,777,60.0,6000,68.20370523451767,14.741687543023138,189.3777652246521,154.3356692657982,419.1503866017644,15.108528133628592,0.0,47.84907938770286,1.0016965372418585,0.3595543899650826,7.562698561822836,1.0956139739679118,0.0033333333333333,20,-9730.099984147786,17,6000,True,default,,240.0,480.0,112.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1935,2.876480303371133,4.919418814421118,-0.1234403186610953,4.928126314421118,0.0343333333333333,1.6428333333333334,SHARQ-HJB
