profile,controller_mode,seed,duration_s,steps,rms_altitude_error_m,rms_airspeed_error_mps,rms_reference_error_m,mean_reference_error_m,max_reference_error_m,control_energy_integral,saturation_time_fraction,min_airspeed_after_10s_mps,max_abs_roll_rad,max_abs_pitch_rad,max_abs_load_factor_nz,mean_abs_load_factor_nz,safety_time_fraction,safety_violations,q_episode_return,q_table_size,q_updates,finite,scenario_name,scenario_description,target_altitude_m,circle_diameter_m,circle_airspeed_mps,circle_direction,steady_wind_n,steady_wind_e,steady_wind_d,gust_body_u,gust_body_v,gust_body_w,turbulence_std,residual_active_fraction,mean_hard_condition_score,mean_hjb_value,mean_hjb_advantage,mean_hjb_stage_cost,shield_active_fraction,mean_candidate_count
runway_takeoff_accel_200,online_q_learning,4111,45.0,4500,49.24409527909162,13.300110869589725,0.8011055519390402,0.779455683898932,1.0193880830438384,5.365011729452973,0.0,47.75807268173206,0.8294734858711608,0.30354739526751645,8.0,1.0455332610715142,0.0,0,-2931.33264674805,11,4500,True,oblique_takeoff_crosswind,Runway takeoff with diagonal crosswind and mild vertical gust before orbit capture.,170.0,240.0,34.0,1,6.0,9.0,0.0,0.0,0.0,2.5,1.4,0.9797777777777777,1.7047090943657242,0.0,0.0,0.0,0.0,3.0
takeoff_climbout_200,online_q_learning,4112,60.0,6000,102.83628568261376,19.219810517870727,0.6616445546150428,0.6460106794059428,0.912301731666543,8.743968958906633,0.0,57.691736575905416,1.0377965537238405,0.2960282223744623,8.0,1.0101068396735937,0.0,0,-5876.81429442695,11,6000,True,steep_climb_headwind_turbulence,Higher climb target under headwind/turbulence to stress energy allocation.,340.0,280.0,42.0,1,-10.0,0.0,0.0,-4.0,0.0,3.0,2.0,0.9843333333333333,2.8296756550007114,0.0,0.0,0.0,0.0,3.0
straight_climb_altitude_hold,online_q_learning,4113,55.0,5500,55.378128624962656,13.30443766696517,157.46578953245998,113.05795831158495,432.2336694218454,4.284611258105764,0.0,37.89629368505765,1.1657449161345759,0.3136383070972516,7.18877324666893,1.0259776338767963,0.0,0,-7481.843085298368,34,5500,True,long_straight_crosswind_rejoin,Long straight leg before orbit entry with sustained crosswind rejoin demand.,220.0,260.0,38.0,1,0.0,10.0,0.0,0.0,3.5,0.0,1.3,0.8016363636363636,3.97003423318015,0.0,0.0,0.0,0.0,3.1103636363636364
racetrack,online_q_learning,4114,50.0,5000,60.644752554841496,14.604722862795757,211.06720426753864,152.16556168778948,406.1848405961484,4.2457097789425005,0.0,43.69384047920101,1.1189308856186921,0.2963625885102325,5.399783007400609,1.0182640007228903,0.0,0,-8367.746937274065,41,5000,True,reverse_fast_orbit_tailwind,Reverse fast orbit with tailwind and lateral gust forcing.,230.0,260.0,52.0,-1,9.0,0.0,0.0,0.0,-4.0,0.0,1.5,0.7996,5.046368138698631,0.0,0.0,0.0,0.0,3.0744
loiter_orbit,online_q_learning,4115,45.0,4500,53.81077912562491,13.283852266144716,132.25339650496122,94.98559130633993,360.96597362879857,2.7163972668543805,0.0,25.712909830694556,1.2780535068870895,0.29805339903301176,7.071787139541769,1.0076714585491777,0.0,0,-5319.959410675109,24,4500,True,low_speed_vertical_shear_hold,Lower-speed orbit with vertical shear proxy and high turbulence.,190.0,220.0,24.0,1,0.0,0.0,-4.0,0.0,0.0,4.0,2.0,0.908,3.535799934996131,0.0,0.0,0.0,0.0,3.5693333333333332
figure_eight,online_q_learning,4116,45.0,4500,64.35048364204931,14.992992233875686,0.7682867875277681,0.7409579489704973,1.0458006712050032,5.5608778532036345,0.0,50.08136126013878,0.8758724022669241,0.29868306808308137,6.271525468027833,1.1399452789148412,0.00044444444444444447,2,-3547.076883627879,11,4500,True,compact_circle_windshift,Compact circle under mixed north/east wind and opposing body gusts.,210.0,150.0,30.0,1,-7.0,7.0,0.0,4.0,-4.0,0.0,1.7,0.9604444444444444,2.116228483367256,0.0,0.0,0.0,0.0,3.0
high_speed_climb_s_turn_200,online_q_learning,4117,55.0,5500,79.3736139934601,16.356322166409818,0.8204722672706914,0.8014508716537185,0.9957915449060181,7.418383889921932,0.0,51.40501461914916,0.8729869998806329,0.30821859483575526,7.411978141647422,1.0465283897947533,0.0,0,-4087.0299985850866,11,5500,True,high_speed_climb_crosswind,Fast climb/orbit entry with strong crosswind and positive vertical gust.,280.0,300.0,58.0,1,0.0,-10.0,0.0,0.0,3.0,-3.5,1.6,0.9834545454545455,2.2141472208387727,0.0,0.0,0.0,0.0,3.0
fight_mode,online_q_learning,4118,55.0,5500,67.27221931830142,15.149024248435426,620.0179337036636,449.27020141182135,1336.6409116775715,13.601623003586317,0.0,50.147029577505705,0.8651772440059506,0.29680870417687616,8.0,1.6823449273673887,0.04,220,-21099.002027245755,27,5500,True,fight_tailwind_lateral_gust,Fight-mode S-turn with tailwind and alternating lateral gust stress.,240.0,480.0,112.0,1,10.0,0.0,0.0,0.0,-4.0,2.5,1.5,0.7185454545454546,6.86692750105996,0.0,0.0,0.0,0.0,3.0
fight_mode,online_q_learning,4119,55.0,5500,65.16299272145602,14.70682146199262,0.8095177274432876,0.7911243251856477,0.9802529702177246,7.289730119651537,0.0,49.11024656028056,1.3846465511581452,0.34729902825660475,6.639553062112235,1.0401590517421249,0.0,0,-3615.8458312890007,10,5500,True,fight_diagonal_max_turbulence,"Fight-mode S-turn with diagonal wind, mixed gusts, and maximum turbulence.",240.0,480.0,112.0,1,-8.0,8.0,0.0,-4.0,4.0,4.0,2.0,0.982909090909091,2.3652944475523254,0.0,0.0,0.0,0.0,3.0
racetrack,online_q_learning,4120,50.0,5000,76.10534112003006,16.71581430750999,0.803697036073411,0.77959392352721,1.008201726348001,6.550551942119294,0.0,50.52327287082195,0.8948887081458833,0.2970494668047289,5.302560486673189,1.0153068675069505,0.0,0,-4199.417198263868,11,5000,True,racetrack_reverse_vertical_mixed,Reverse-turn racetrack-like orbit with vertical wind and mixed gusts.,260.0,240.0,44.0,-1,-6.0,-6.0,4.0,3.0,0.0,-3.0,1.8,0.9822,2.333753483943487,0.0,0.0,0.0,0.0,3.0
