profile,controller_mode,seed,duration_s,steps,rms_altitude_error_m,rms_airspeed_error_mps,rms_reference_error_m,mean_reference_error_m,max_reference_error_m,control_energy_integral,saturation_time_fraction,min_airspeed_after_10s_mps,max_abs_roll_rad,max_abs_pitch_rad,max_abs_load_factor_nz,mean_abs_load_factor_nz,safety_time_fraction,safety_violations,q_episode_return,q_table_size,q_updates,finite,scenario_name,scenario_description,target_altitude_m,circle_diameter_m,circle_airspeed_mps,circle_direction,steady_wind_n,steady_wind_e,steady_wind_d,gust_body_u,gust_body_v,gust_body_w,turbulence_std,residual_active_fraction,mean_hard_condition_score,mean_hjb_value,mean_hjb_advantage,mean_hjb_stage_cost,shield_active_fraction,mean_candidate_count
runway_takeoff_accel_200,fixed_matlab_autopilot,4111,45.0,4500,93.2651637443261,11.751029481447176,172.94613631559824,103.93048219908451,473.3971564201439,3.924775506113182,0.0,33.73894080303264,1.0596729291778144,0.361877074691483,8.0,1.0034154564839535,0.002,9,0.0,0,0,True,oblique_takeoff_crosswind,Runway takeoff with diagonal crosswind and mild vertical gust before orbit capture.,170.0,240.0,34.0,1,6.0,9.0,0.0,0.0,0.0,2.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
takeoff_climbout_200,fixed_matlab_autopilot,4112,60.0,6000,177.60870411491695,11.463890807654295,330.1546415829058,189.7040840359875,940.87328439041,4.964267344952724,0.0,41.77711567280905,1.075585699269921,0.3618580556520581,8.0,1.0034650027001752,0.0018333333333333333,11,0.0,0,0,True,steep_climb_headwind_turbulence,Higher climb target under headwind/turbulence to stress energy allocation.,340.0,280.0,42.0,1,-10.0,0.0,0.0,-4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
straight_climb_altitude_hold,fixed_matlab_autopilot,4113,55.0,5500,92.99870877306559,8.888337526260067,84.57747541761314,57.78018894782424,282.31999166926863,4.3806257613046,0.0,37.88135230125143,1.2040662630953718,0.36360084885032334,8.0,1.0611254059682973,0.0034545454545454545,19,0.0,0,0,True,long_straight_crosswind_rejoin,Long straight leg before orbit entry with sustained crosswind rejoin demand.,220.0,260.0,38.0,1,0.0,10.0,0.0,0.0,3.5,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
racetrack,fixed_matlab_autopilot,4114,50.0,5000,101.69071433201667,8.614940741414268,155.0274071782579,105.30612894973927,408.6311822483379,3.848333009532526,0.0,46.65915215477139,1.1478599407548769,0.353296315098772,8.0,1.0126731241364417,0.001,5,0.0,0,0,True,reverse_fast_orbit_tailwind,Reverse fast orbit with tailwind and lateral gust forcing.,230.0,260.0,52.0,-1,9.0,0.0,0.0,0.0,-4.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loiter_orbit,fixed_matlab_autopilot,4115,45.0,4500,86.23478596113819,9.314309113518036,108.64673087058381,72.24596501794525,360.0674390562156,2.5280578644230327,0.0,23.578734201602458,1.0211676559722336,0.3545319834887062,6.393601288733764,1.0069244371541475,0.00044444444444444447,2,0.0,0,0,True,low_speed_vertical_shear_hold,Lower-speed orbit with vertical shear proxy and high turbulence.,190.0,220.0,24.0,1,0.0,0.0,-4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
figure_eight,fixed_matlab_autopilot,4116,45.0,4500,117.71580590752706,12.25123388294712,168.54541049029018,98.8945603182706,462.2939270794652,3.622387618888028,0.0,29.602908141032884,1.0794167297277903,0.3580206777196115,5.9189728574283915,1.0269322630925446,0.0,0,0.0,0,0,True,compact_circle_windshift,Compact circle under mixed north/east wind and opposing body gusts.,210.0,150.0,30.0,1,-7.0,7.0,0.0,4.0,-4.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_speed_climb_s_turn_200,fixed_matlab_autopilot,4117,55.0,5500,126.15678408067295,9.059557162582506,545.2094635400371,324.7963880014997,1452.4645060558726,4.743356512501022,0.0,46.765191454548756,0.8929262646668454,0.3761492279299634,7.208554009431973,1.0375448858243441,0.0018181818181818182,10,0.0,0,0,True,high_speed_climb_crosswind,Fast climb/orbit entry with strong crosswind and positive vertical gust.,280.0,300.0,58.0,1,0.0,-10.0,0.0,0.0,3.0,-3.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight_mode,fixed_matlab_autopilot,4118,55.0,5500,113.99943610233707,9.821871979122916,559.19867527204,379.7549810066677,1195.748807753642,11.83364783098624,0.0,49.291516760700084,0.9065838821822413,0.35822111420869723,8.0,1.087143517069556,0.005090909090909091,28,0.0,0,0,True,fight_tailwind_lateral_gust,Fight-mode S-turn with tailwind and alternating lateral gust stress.,240.0,480.0,112.0,1,10.0,0.0,0.0,0.0,-4.0,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight_mode,fixed_matlab_autopilot,4119,55.0,5500,104.3295373469257,9.978818719494058,536.0970419878538,380.84541302372554,1092.2469092830643,12.71994248487456,0.0041818181818181815,47.01825646717415,1.8769703918817444,0.5236201747138612,8.0,1.3028278001802642,0.02090909090909091,115,0.0,0,0,True,fight_diagonal_max_turbulence,"Fight-mode S-turn with diagonal wind, mixed gusts, and maximum turbulence.",240.0,480.0,112.0,1,-8.0,8.0,0.0,-4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
racetrack,fixed_matlab_autopilot,4120,50.0,5000,140.86052359934004,11.721131470610084,88.31022160340783,44.09184322160258,411.9526736541612,4.040226723246985,0.0,43.80595290339754,1.0416882827215332,0.3592387448296726,6.2466149325434,1.018231689059867,0.0006,3,0.0,0,0,True,racetrack_reverse_vertical_mixed,Reverse-turn racetrack-like orbit with vertical wind and mixed gusts.,260.0,240.0,44.0,-1,-6.0,-6.0,4.0,3.0,0.0,-3.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
