profile,controller_mode,seed,duration_s,steps,rms_altitude_error_m,rms_airspeed_error_mps,rms_reference_error_m,mean_reference_error_m,max_reference_error_m,control_energy_integral,saturation_time_fraction,min_airspeed_after_10s_mps,max_abs_roll_rad,max_abs_pitch_rad,max_abs_load_factor_nz,mean_abs_load_factor_nz,safety_time_fraction,safety_violations,q_episode_return,q_table_size,q_updates,finite,scenario_name,scenario_description,target_altitude_m,circle_diameter_m,circle_airspeed_mps,circle_direction,steady_wind_n,steady_wind_e,steady_wind_d,gust_body_u,gust_body_v,gust_body_w,turbulence_std,residual_active_fraction,mean_hard_condition_score,mean_hjb_value,mean_hjb_advantage,mean_hjb_stage_cost,shield_active_fraction,mean_candidate_count
loiter_orbit,sharq_hjb,5031,8.0,400,110.52258393750623,28.2034294998576,1.1292055381365624,1.1027397540124984,1.6425529999310935,0.7589228195544124,0.0,nan,1.1096844130441148,0.3131793144680419,8.0,1.1302498749318468,0.0,0,-836.9056687007223,5,400,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.95,3.1233975694165896,9.088154899088403,-0.6492783229897974,9.130004899088403,0.09,2.91
loiter_orbit,sharq_hjb,5032,8.0,400,110.59048358984406,28.12707048896958,1.1295887255906916,1.1033167665794903,1.6435488345355107,0.7570333639783404,0.0,nan,1.108130099602349,0.3135973082205784,7.888704648290808,1.1259793526067028,0.0,0,-836.3778594105537,5,400,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.955,3.1200224184967458,9.10117403932984,-0.6579792905711384,9.143249039329838,0.09,2.91
loiter_orbit,sharq_hjb,5033,8.0,400,109.84328936117596,28.27278616623902,1.0837336789103031,1.0599901180848081,1.5550866927417302,0.8513114379445244,0.0,nan,1.0253254309975566,0.31260049545247065,6.955576435966941,1.1276022397523002,0.0,0,-834.1956751380083,5,400,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.955,3.1135241850302133,9.130350471696389,-0.6599319964292734,9.172425471696389,0.0825,2.9175
loiter_orbit,sharq_hjb,5034,8.0,400,110.83594299952475,28.227505581697933,1.1316208616059211,1.1050994171159323,1.6431720957519187,0.7594296892601882,0.0,nan,1.1145628772151104,0.3141215846894114,7.949957477336834,1.123496374352941,0.0,0,-838.731607998402,5,400,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.95,3.1278822447631502,9.153060416891197,-0.6750060588499716,9.194910416891197,0.0825,2.9175
loiter_orbit,sharq_hjb,5035,8.0,400,110.54486500553405,28.185728031588475,1.1312806699617426,1.1047923729143714,1.6443205231935059,0.7631969990199376,0.0,nan,1.110314336663088,0.3131392504143398,7.9911060723378,1.132276869367226,0.0,0,-836.6315114911423,5,400,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.9525,3.1217836583199454,9.114744859190298,-0.6508513720872117,9.156707359190296,0.0825,2.9175
loiter_orbit,sharq_hjb,5036,8.0,400,110.47563949002372,28.20601844889367,1.130970563228004,1.104569892461004,1.6436994439776116,0.7622443984428154,0.0,nan,1.1076182631276559,0.31359026304736043,8.0,1.133232354597288,0.0,0,-836.7263088794731,5,400,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.945,3.12279452060592,9.053136766673228,-0.6312992834658404,9.094761766673228,0.095,2.905
loiter_orbit,sharq_hjb,5037,8.0,400,110.48424587844009,28.152183820250766,1.1314581669113788,1.1052071853943424,1.6449352325543645,0.7601011284467754,0.0,nan,1.11167621329699,0.3137648583364344,7.942631034219053,1.1303936888582204,0.0,0,-836.7579689146073,5,400,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.9475,3.1186099809747634,9.1435304561465,-0.6503577878345039,9.1852679561465,0.0725,2.9275
loiter_orbit,sharq_hjb,5038,8.0,400,110.60787798335556,28.18664345139692,1.1326154559193544,1.1062065236105374,1.6435883464950245,0.7619194422531549,0.0,nan,1.1080885147238044,0.31373824565096,7.965169534175775,1.1270039599666477,0.0,0,-836.9200111044336,5,400,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.955,3.1229397444826623,9.098781437558282,-0.6619975428867086,9.140856437558282,0.09,2.91
loiter_orbit,sharq_hjb,5039,8.0,400,110.47771857665917,28.16293000357637,1.131703560601948,1.105238986379341,1.6447533653873747,0.7579679758676088,0.0,nan,1.1125982696456238,0.3138569882323287,7.998680580701121,1.1283461524370313,0.0,0,-836.0733315420297,5,400,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.955,3.1197014260457667,9.101140094748077,-0.6674323358879936,9.143215094748077,0.085,2.915
loiter_orbit,sharq_hjb,5040,8.0,400,109.92688078754598,27.964148499387854,1.0701090017893602,1.047480441104397,1.5023113848814025,0.8728029752632311,0.0,nan,1.03507163726254,0.3144675963837401,6.8166078631500735,1.1275359293175375,0.0,0,-830.8776744114747,5,400,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.955,3.1040488833450968,9.010735971619475,-0.6299741226388157,9.052810971619476,0.1025,2.8975
