controller_mode,method_label,episodes,mean_rms_altitude_error_m,std_rms_altitude_error_m,ci95_rms_altitude_error_m,mean_rms_airspeed_error_mps,std_rms_airspeed_error_mps,ci95_rms_airspeed_error_mps,mean_rms_reference_error_m,std_rms_reference_error_m,ci95_rms_reference_error_m,mean_mean_reference_error_m,std_mean_reference_error_m,ci95_mean_reference_error_m,mean_max_reference_error_m,std_max_reference_error_m,ci95_max_reference_error_m,mean_control_energy_integral,std_control_energy_integral,ci95_control_energy_integral,mean_saturation_time_fraction,std_saturation_time_fraction,ci95_saturation_time_fraction,mean_min_airspeed_after_10s_mps,std_min_airspeed_after_10s_mps,ci95_min_airspeed_after_10s_mps,mean_max_abs_roll_rad,std_max_abs_roll_rad,ci95_max_abs_roll_rad,mean_max_abs_pitch_rad,std_max_abs_pitch_rad,ci95_max_abs_pitch_rad,mean_max_abs_load_factor_nz,std_max_abs_load_factor_nz,ci95_max_abs_load_factor_nz,mean_mean_abs_load_factor_nz,std_mean_abs_load_factor_nz,ci95_mean_abs_load_factor_nz,mean_safety_time_fraction,std_safety_time_fraction,ci95_safety_time_fraction,mean_safety_violations,std_safety_violations,ci95_safety_violations,mean_q_episode_return,std_q_episode_return,ci95_q_episode_return,mean_q_table_size,std_q_table_size,ci95_q_table_size,mean_q_updates,std_q_updates,ci95_q_updates,mean_residual_active_fraction,std_residual_active_fraction,ci95_residual_active_fraction,mean_mean_hard_condition_score,std_mean_hard_condition_score,ci95_mean_hard_condition_score,mean_mean_hjb_value,std_mean_hjb_value,ci95_mean_hjb_value,mean_mean_hjb_advantage,std_mean_hjb_advantage,ci95_mean_hjb_advantage,mean_mean_hjb_stage_cost,std_mean_hjb_stage_cost,ci95_mean_hjb_stage_cost,mean_shield_active_fraction,std_shield_active_fraction,ci95_shield_active_fraction,mean_mean_candidate_count,std_mean_candidate_count,ci95_mean_candidate_count
fixed_matlab_autopilot,Baseline autopilot,1000,221.41732851715216,44.36477327645624,2.751133046626222,18.943554577675954,1.2239809731184494,0.07590108671590765,0.8664482241274049,0.10739769962349516,0.0066599091744402854,0.795173313480924,0.09596467115796951,0.005950928149370605,1.1678916779476203,0.15936565225574256,0.009882527961674221,0.7315360808506144,0.3365912073764553,0.020872578071048208,0.0186475,0.041676156177723495,0.0025844074487299893,nan,nan,nan,0.6358159173613885,0.41032217271793325,0.025444757309891264,0.15158686524556544,0.10296060384412895,0.006384757518562483,4.258758209582496,3.0458302155768617,0.18887697471752996,1.002041169876491,0.11725651668033475,0.007271270743600098,0.0022225,0.00280031136661622,0.00017365194438239895,0.889,1.120124546646488,0.06946077775295961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
online_q_learning,Baseline + tabular Q residual,1000,156.78149263697296,35.28165289392904,2.1878737125789534,35.16903147764193,4.769287038745474,0.2957513858884497,1.183479215971367,0.11685707254516477,0.007246500551409567,1.150953655327975,0.1148642947059922,0.007122925098115377,1.8193118028557658,0.20693249953612491,0.012832226919029866,0.8328172309030577,0.10667836288736449,0.006615301912410805,0.0,0.0,0.0,nan,nan,nan,0.7207460667222433,0.36874679373801755,0.02286659922205641,0.31249372624657007,0.057235967789219765,0.0035492971294890014,7.144568928328292,0.8017336631185671,0.04971683189844465,1.113675402469464,0.08781934238897392,0.005445822826001103,0.00044750000000000004,0.001970023794272546,0.0001221644372955556,0.179,0.7880095177090187,0.048865774918222256,-1155.2433501743933,218.82813135608063,13.569894744050536,5.052,0.38638840562315,0.023960584784667154,400.0,0.0,0.0,0.9239275,0.09740556192410164,0.006040280171493715,4.344191152831659,0.9704928886504106,0.060181870892120494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0946800000000003,0.2840422681573994,0.01761393134361371
sharq_hjb,Baseline + SHARQ-HJB residual,1000,155.14931478376437,35.68804879335848,2.213074995181407,35.302654061726074,4.5977501861766745,0.2851141016432326,1.1735663281646898,0.11495684688296329,0.007128664411850076,1.1408207781912285,0.11309365535056856,0.007013124819998144,1.814929891869882,0.20206523405489848,0.012530399727698061,0.8219882690684004,0.10968481740211641,0.006801737134724947,0.0,0.0,0.0,nan,nan,nan,0.720106793494415,0.3693742162857567,0.022905506733079336,0.31250516713271526,0.057234515601230024,0.003549207076907337,7.146792637983857,0.7786522656549129,0.04828551622533442,1.113970574016958,0.08724888730495454,0.0054104479617257464,0.0003775,0.0016473444539621938,0.00010215455713546774,0.151,0.6589377815848778,0.0408618228541871,-1147.9096693035967,218.32783377184592,13.538870462498176,5.051,0.3852259077476488,0.02388849636663343,400.0,0.0,0.0,0.95148,0.004545283269500376,0.00028186054126948105,4.305559076411678,0.9753349712923876,0.06048213645389464,11.89655203017692,1.8471758884793434,0.11454643525527783,-0.30081258793545373,0.16450593234311695,0.010201285240769686,11.938542430176922,1.8472356440013176,0.114550140794134,0.0142325,0.02120565240095197,0.001314997616058767,3.0781725000000004,0.27318170051039287,0.01694044956173666
