profile,controller_mode,seed,duration_s,steps,rms_altitude_error_m,rms_airspeed_error_mps,rms_reference_error_m,mean_reference_error_m,max_reference_error_m,control_energy_integral,saturation_time_fraction,min_airspeed_after_10s_mps,max_abs_roll_rad,max_abs_pitch_rad,max_abs_load_factor_nz,mean_abs_load_factor_nz,safety_time_fraction,safety_violations,q_episode_return,q_table_size,q_updates,finite,scenario_name,scenario_description,target_altitude_m,circle_diameter_m,circle_airspeed_mps,circle_direction,steady_wind_n,steady_wind_e,steady_wind_d,gust_body_u,gust_body_v,gust_body_w,turbulence_std,residual_active_fraction,mean_hard_condition_score,mean_hjb_value,mean_hjb_advantage,mean_hjb_stage_cost,shield_active_fraction,mean_candidate_count
runway_takeoff_accel_200,sharq_hjb,4111,45.0,4500,48.97773107248681,13.353751681991701,0.8009119602644222,0.7791471819678527,1.0193880996068854,5.363523683607472,0.0,47.719877650925504,0.829591502484713,0.303412661199827,8.0,1.0438606969910809,0.0,0,-2900.4370251986984,11,4500,True,oblique_takeoff_crosswind,Runway takeoff with diagonal crosswind and mild vertical gust before orbit capture.,170.0,240.0,34.0,1,6.0,9.0,0.0,0.0,0.0,2.5,1.4,0.9802222222222222,1.704889710295452,2.3520241666714212,-0.15880767967615006,2.395934166671421,0.1511111111111111,2.848888888888889
takeoff_climbout_200,sharq_hjb,4112,60.0,6000,100.24101548653535,19.402451715642343,0.7808857704814973,0.7483621990424347,0.973840733696177,8.784472479588405,0.0,56.43655761134498,1.0024543781901303,0.29603328957686376,8.0,1.020251942923278,0.0,0,-5917.9151007715745,11,6000,True,steep_climb_headwind_turbulence,Higher climb target under headwind/turbulence to stress energy allocation.,340.0,280.0,42.0,1,-10.0,0.0,0.0,-4.0,0.0,3.0,2.0,0.9826666666666667,2.793322884525732,3.839724749811497,-0.14318188484979666,3.8838622498114956,0.10433333333333333,2.8956666666666666
straight_climb_altitude_hold,sharq_hjb,4113,55.0,5500,55.02597127080994,13.364990348580934,156.19495473746656,102.65792790076884,319.79177985503173,4.411317284829081,0.0,38.06818064113241,1.1568859705729762,0.31366073204265704,7.18877324666893,1.0175351192972089,0.0,0,-7072.634549974846,34,5500,True,long_straight_crosswind_rejoin,Long straight leg before orbit entry with sustained crosswind rejoin demand.,220.0,260.0,38.0,1,0.0,10.0,0.0,0.0,3.5,0.0,1.3,0.8143636363636364,3.8140595925052687,1.7754574047367482,-0.09864083331344194,1.7879019501912936,0.078,3.021818181818182
racetrack,sharq_hjb,4114,50.0,5000,60.56653822012735,14.458358365852755,191.74231660467953,125.60855373370826,406.249279223773,4.1843133234781815,0.0,43.861577939551964,1.0962527897580363,0.2966397927388958,6.0948361249689995,1.0056248641344103,0.0,0,-7385.6581426191,41,5000,True,reverse_fast_orbit_tailwind,Reverse fast orbit with tailwind and lateral gust forcing.,230.0,260.0,52.0,-1,9.0,0.0,0.0,0.0,-4.0,0.0,1.5,0.804,4.420579151404276,2.0367272595082073,-0.10901486877109856,2.050326259508207,0.082,3.0042
loiter_orbit,sharq_hjb,4115,45.0,4500,54.3225777412481,14.07926698267402,115.29282083838636,79.32657431328346,357.51294097451694,2.6193598953584045,0.0,24.241815627386014,1.243921364266991,0.29797882837735074,7.0170436007525385,1.0186974398914443,0.0,0,-4324.9847050482085,24,4500,True,low_speed_vertical_shear_hold,Lower-speed orbit with vertical shear proxy and high turbulence.,190.0,220.0,24.0,1,0.0,0.0,-4.0,0.0,0.0,4.0,2.0,0.7582222222222222,3.156777847203143,3.2153482003032474,-3.916581024779791,3.2571227003032472,0.12266666666666666,3.388
figure_eight,sharq_hjb,4116,45.0,4500,61.78525248198074,15.106515547829913,0.7541171294968123,0.7256972775423121,1.044499019554145,5.532633210213374,0.0,48.3915397265521,0.8707309763545881,0.298585069267116,6.1292167022907185,1.1639333687315403,0.0,0,-3521.591358952734,11,4500,True,compact_circle_windshift,Compact circle under mixed north/east wind and opposing body gusts.,210.0,150.0,30.0,1,-7.0,7.0,0.0,4.0,-4.0,0.0,1.7,0.9222222222222223,2.0808526900591318,2.8526937987226275,-0.1757967910569989,2.8935237987226277,0.15844444444444444,2.8415555555555554
high_speed_climb_s_turn_200,sharq_hjb,4117,55.0,5500,76.93092839072318,16.352053182154986,0.8175473237382357,0.7975312030976069,0.9899085026506033,7.37080219821816,0.0,50.803701484020735,0.871393410131431,0.30826702630925323,7.411978141647422,1.0455878546837492,0.0,0,-4065.532092871038,11,5500,True,high_speed_climb_crosswind,Fast climb/orbit entry with strong crosswind and positive vertical gust.,280.0,300.0,58.0,1,0.0,-10.0,0.0,0.0,3.0,-3.5,1.6,0.9850909090909091,2.1800936040159535,3.0143867657886623,-0.11629130202667183,3.0585767657886627,0.09727272727272727,2.9023636363636363
fight_mode,sharq_hjb,4118,55.0,5500,64.76936013861832,14.987871710566747,214.95961171639993,146.51419064574145,729.6937365566326,13.508939646352031,0.0,48.49791772250154,2.0093251878360148,0.633761820213939,8.0,1.7679262874298263,0.04981818181818182,274,-9895.690894854873,31,5500,True,fight_tailwind_lateral_gust,Fight-mode S-turn with tailwind and alternating lateral gust stress.,240.0,480.0,112.0,1,10.0,0.0,0.0,0.0,-4.0,2.5,1.5,0.7352727272727273,2.9823419170326404,2.207119233479951,-0.11438502878984648,2.223245597116315,0.09327272727272727,2.906
fight_mode,sharq_hjb,4119,55.0,5500,65.02092685299878,14.723252469737591,0.8093678812367807,0.7909084381593181,0.9802540703012289,7.287310610308198,0.0,49.1102302601608,1.3846463124420165,0.3472988973849486,6.638649810051796,1.040158848036376,0.0,0,-3587.9962153709703,10,5500,True,fight_diagonal_max_turbulence,"Fight-mode S-turn with diagonal wind, mixed gusts, and maximum turbulence.",240.0,480.0,112.0,1,-8.0,8.0,0.0,-4.0,4.0,4.0,2.0,0.9834545454545455,2.3648372141423812,2.7329704991242285,-0.11595117574824383,2.7771850445787742,0.1050909090909091,2.894909090909091
racetrack,sharq_hjb,4120,50.0,5000,76.02690024179734,16.707740639472473,0.8034645724442141,0.779331653527224,1.0082111315135516,6.547509745950457,0.0,50.53451544024926,0.8949709110438485,0.2971538166624926,5.1850739007792805,1.0145315019873689,0.0,0,-4169.683282625023,11,5000,True,racetrack_reverse_vertical_mixed,Reverse-turn racetrack-like orbit with vertical wind and mixed gusts.,260.0,240.0,44.0,-1,-6.0,-6.0,4.0,3.0,0.0,-3.0,1.8,0.9822,2.333631234904175,3.127333483250977,-0.14808828372799204,3.171379483250977,0.129,2.871
